"date","name","infected","deaths"
"2020-02-05","China","24363","491"
"2020-02-05","Japan","33","0"
"2020-02-05","Korea","18","0"
"2020-02-05","Viet Nam","10","0"
"2020-02-05","Singapore","24","0"
"2020-02-05","Australia","13","0"
"2020-02-05","Malaysia","10","0"
"2020-02-05","Cambodia","1","0"
"2020-02-05","Philippines","3","1"
"2020-02-05","Thailand","25","0"
"2020-02-05","Nepal","1","0"
"2020-02-05","Sri Lanka","1","0"
"2020-02-05","India","3","0"
"2020-02-05","America","11","0"
"2020-02-05","Canada","5","0"
"2020-02-05","France","6","0"
"2020-02-05","Finland","1","0"
"2020-02-05","Germany","12","0"
"2020-02-05","Italy","2","0"
"2020-02-05","Russia","2","0"
"2020-02-05","Spain","1","0"
"2020-02-05","Sweden","1","0"
"2020-02-05","United Kingdom","2","0"
"2020-02-05","Belgium","1","0"
"2020-02-05","United Arab Emirates","5","0"
